1;Петров Сергей Викторович;Директор;100000;dir;dirpass
2;Сидоров Андрей Иванович;Главный бухгалтер;70000;gbuh;gbuhpass
3;Тимофеев Виктор Сергеевич;Бухгалтер;50000;buh;buhpass
4;Сунцов Аркадий Степанович;Главный инженер;80000;ginj;ginjpass
5;Лебедев Владимир Александрович;Инженер;60000;inj1;inj1pass
6;Карпов Антон Александрович;Инженер;60000;inj2;inj2pass
7;Сергеев Дмитрий Михайлович;Инженер;60000;inj3;inj3pass
8;Зайцев Степан Петрович;Программист;70000;prog;progpass
9;Остроглазова Ольга Сергеевна;Секретарь;30000;secretary;secretarypass
10;Кожедуб Сергей Петрович;Помошник инженера;20000;inj4;inj4pass
